lat,lon,x,y,faa,height
-66.3751726,-63.1759594,-2322393.08,1174348.51,-0.03,1538.12
-66.4423067,-63.203187,-2316167.12,1169818.5,-10.47,1204.05
-66.5158314,-63.2332791,-2309351.55,1164854.3,-11.82,884.8
-66.5918693,-63.2653467,-2302319.37,1159691.25,-7.86,631.83
-66.6636878,-63.2946755,-2295655.31,1154861.65,-0.81,517.85
-66.7313138,-63.3231039,-2289394.25,1150288.89,3.85,516.25
-66.7983162,-63.3515537,-2283194.26,1145754.2,4.28,519.68
-66.8651109,-63.3794385,-2277001.63,1141259.71,8.85,519.68
-66.9317931,-63.4080438,-2270832.38,1136749.43,11.06,519.55
-66.9984959,-63.4365425,-2264656.56,1132249.54,10.13,519.53
-67.0651806,-63.4652923,-2258485.13,1127747.86,10.84,520.71
-67.1318881,-63.4941411,-2252310.92,1123248.38,7.35,522.57
-67.1985887,-63.5232582,-2246140.22,1118746.0,5.57,521.29
-67.2652938,-63.5523807,-2239966.7,1114250.5,4.81,520.75
-67.3319102,-63.5816832,-2233803.17,1109759.76,8.97,520.23
-67.3985661,-63.6112885,-2227638.99,1105262.61,12.83,520.5
-67.4652865,-63.6408538,-2221464.99,1100771.2,7.69,521.33
-67.5320308,-63.6706063,-2215289.61,1096278.76,10.37,521.6
-67.5985366,-63.7010582,-2209149.11,1091778.73,10.87,520.75
-67.6650001,-63.730449,-2202990.08,1087329.18,18.05,519.16
-67.7311402,-63.7607761,-2196878.94,1082867.18,16.16,517.78
-67.7970505,-63.7917105,-2190799.82,1078400.89,12.37,518.28
-67.8628518,-63.8215287,-2184708.06,1073990.17,6.0,517.15
-67.9284279,-63.8516524,-2178642.21,1069586.35,3.42,514.69
-67.9938702,-63.8822814,-2172596.69,1065177.38,1.12,515.06
-68.0593215,-63.9131446,-2166551.92,1060766.57,1.77,512.45
-68.1249134,-63.9447762,-2160504.39,1056327.35,3.67,514.01
-68.1906152,-63.9752329,-2154421.35,1051934.57,10.04,515.97
-68.2560921,-64.0064755,-2148372.78,1047530.87,10.97,514.7
-68.3213308,-64.0370555,-2142333.47,1043171.26,10.72,511.73
-68.3860403,-64.0685354,-2136361.35,1038811.55,12.99,509.54
-68.4503896,-64.1002371,-2130426.87,1034468.81,12.62,509.84
-68.5142062,-64.1312942,-2124531.88,1030183.64,14.12,556.18
-68.5763307,-64.1621723,-2118802.13,1025995.3,24.65,647.1
-68.6384806,-64.1926684,-2113060.35,1021826.88,29.69,726.74
-68.7003088,-64.223772,-2107359.31,1017658.84,8.61,1045.39
-68.763743,-64.2549975,-2101495.26,1013415.05,-0.71,1572.96
-69.5434962,-63.2420252,-2005142.1,1011024.84,86.93,2089.89
-69.47248,-63.212384,-2011722.97,1015648.69,50.48,2073.22
-69.4025037,-63.1835641,-2018211.71,1020198.87,23.65,1937.74
-69.3322048,-63.1546996,-2024729.35,1024774.5,1.23,1784.53
-69.261362,-63.1258398,-2031298.9,1029385.13,29.31,1583.26
-69.1904609,-63.0967495,-2037867.53,1034014.58,-10.34,1274.07
-69.1177576,-63.0674976,-2044610.87,1038749.1,-44.95,909.66
-69.0456218,-63.0385038,-2051299.48,1043453.49,-46.56,656.75
-68.9763698,-63.0107143,-2057719.06,1047975.58,-43.85,502.63
-68.9075261,-62.9833166,-2064102.58,1052469.97,-34.25,511.9
-68.8404435,-62.9568986,-2070325.69,1056846.14,-11.3,511.98
-68.7748581,-62.9313816,-2076413.57,1061119.82,-10.13,511.03
-68.7096313,-62.9059505,-2082465.13,1065378.35,-4.14,511.61
-68.6446033,-62.8809057,-2088502.0,1069618.89,1.24,510.84
-68.5796522,-62.8557225,-2094526.61,1073866.71,4.41,509.9
-68.514447,-62.8305729,-2100575.27,1078132.53,18.0,510.62
-68.4488214,-62.8057591,-2106670.33,1082413.82,19.68,525.61
-68.3852467,-62.7810428,-2112560.2,1086592.21,11.07,697.97
-68.3193251,-62.7565668,-2118687.43,1090888.51,10.76,631.62
-68.2484673,-62.7300047,-2125266.51,1095522.77,6.13,591.63
-68.173591,-62.7024931,-2132226.99,1100406.92,4.06,557.15
-68.0985623,-62.6754124,-2139208.63,1105290.73,4.98,518.52
-68.0269724,-62.6490366,-2145857.74,1109978.05,2.34,529.74
-67.9610358,-62.6244076,-2151973.31,1114314.23,2.45,525.36
-67.8952111,-62.6005552,-2158090.94,1118621.56,2.64,526.15
-67.8285253,-62.576611,-2164291.09,1122983.06,3.3,528.58
-67.7613583,-62.5523812,-2170531.93,1127386.51,3.68,530.42
-67.6939582,-62.5288188,-2176807.42,1131782.98,9.46,531.85
-67.6263132,-62.5048545,-2183097.68,1136213.64,15.81,532.2
-67.5583046,-62.4810699,-2189426.08,1140662.63,16.29,532.07
-67.4899949,-62.4570999,-2195779.1,1145140.68,20.4,531.4
-67.4214164,-62.4332724,-2202160.06,1149633.62,24.86,533.11
-67.3526463,-62.4095344,-2208560.21,1154139.45,23.48,533.15
-67.283886,-62.3859529,-2214960.77,1158645.05,23.33,534.65
-67.2152089,-62.3624638,-2221353.15,1163149.01,19.49,534.69
-67.1465595,-62.3391368,-2227744.34,1167651.49,19.55,535.42
-67.0779986,-62.3159126,-2234127.08,1172151.55,17.24,535.29
-67.0095541,-62.2928497,-2240499.81,1176645.4,13.34,535.23
-66.9411771,-62.2700365,-2246869.29,1181132.07,6.83,535.15
-66.8729593,-62.2473052,-2253222.92,1185613.24,4.2,535.88
-66.8048814,-62.224846,-2259566.6,1190082.38,2.48,536.26
-66.7368089,-62.202464,-2265909.8,1194554.18,10.38,535.83
-66.6686621,-62.1801956,-2272261.26,1199031.38,13.4,536.01
-66.6004477,-62.1580034,-2278619.55,1203515.09,14.86,536.43
-66.5322317,-62.1359415,-2284979.24,1207999.65,15.81,536.79
-66.4639514,-62.1140371,-2291347.21,1212487.25,15.65,537.08
-66.3956309,-62.0922208,-2297719.6,1216979.36,14.11,536.63
-66.3273453,-62.0705092,-2304089.28,1221471.3,15.89,537.95
-66.2590391,-62.0488544,-2310460.81,1225967.92,14.31,537.22
-66.1907641,-62.0275402,-2316835.11,1230454.98,34.67,559.15
-66.1228969,-62.0061897,-2323166.46,1234927.61,36.54,565.81
-66.0548585,-61.9850195,-2329517.46,1239407.78,9.86,563.11
-65.819929,-61.414213,-2340446.86,1275299.99,5.04,501.23
-65.8197131,-61.2376229,-2336526.65,1282519.15,9.32,501.24
-65.8206362,-61.0614586,-2332480.67,1289646.4,12.93,500.38
-66.4782625,-60.2473253,-2249228.83,1285679.49,10.27,497.99
-66.5471976,-60.2647938,-2242846.94,1281124.47,12.92,499.07
-66.6159665,-60.2820866,-2236476.52,1276590.57,15.3,498.74
